FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
12099,Palm Beach,Florida,US,43922.91584,26.64676272,-80.46536002,567,14,0,0,"Palm Beach, Florida, US"
12011,Broward,Florida,US,43922.91584,26.15184651,-80.48725556,1232,12,0,0,"Broward, Florida, US"
12071,Lee,Florida,US,43922.91584,26.58410348,-81.88399313,212,8,0,0,"Lee, Florida, US"
12086,Miami-Dade,Florida,US,43922.91584,25.6112362,-80.55170587,2202,7,0,0,"Miami-Dade, Florida, US"
12019,Clay,Florida,US,43922.91584,29.98319144,-81.85609986,46,5,0,0,"Clay, Florida, US"
12103,Pinellas,Florida,US,43922.91584,27.93130349,-82.72239666,170,5,0,0,"Pinellas, Florida, US"
12031,Duval,Florida,US,43922.91584,30.33225875,-81.66976468,218,4,0,0,"Duval, Florida, US"
12095,Orange,Florida,US,43922.91584,28.51367621,-81.31799498,392,4,0,0,"Orange, Florida, US"
12057,Hillsborough,Florida,US,43922.91584,27.9276559,-82.32013172,309,3,0,0,"Hillsborough, Florida, US"
12115,Sarasota,Florida,US,43922.91584,27.18546175,-82.33174248,82,3,0,0,"Sarasota, Florida, US"
12017,Citrus,Florida,US,43922.91584,28.84804315,-82.47614748,19,2,0,0,"Citrus, Florida, US"
12081,Manatee,Florida,US,43922.91584,27.47196942,-82.31831044,58,2,0,0,"Manatee, Florida, US"
12101,Pasco,Florida,US,43922.91584,28.30810945,-82.40227529,43,2,0,0,"Pasco, Florida, US"
12113,Santa Rosa,Florida,US,43922.91584,30.6934145,-87.02458128,44,2,0,0,"Santa Rosa, Florida, US"
12109,St. Johns,Florida,US,43922.91584,29.90096506,-81.43589967,83,2,0,0,"St. Johns, Florida, US"
